Date : 2022-08-01 10:22:10
Directory : /home/hsnt/Documents/Docker/RiDX/core
Total : 842 files,  67334 codes, 2993 comments, 5290 blanks, all 75617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript React   |        338 |     31,406 |      1,128 |      2,247 |     34,781 |
| JSON               |         23 |     12,847 |         89 |          8 |     12,944 |
| JavaScript         |        174 |      6,847 |        400 |        720 |      7,967 |
| Python             |        102 |      5,234 |        345 |      1,117 |      6,696 |
| HTML               |         27 |      5,174 |        972 |        458 |      6,604 |
| Less               |        120 |      5,108 |         36 |        613 |      5,757 |
| CSS                |         48 |        357 |         18 |         72 |        447 |
| Markdown           |          2 |        278 |          0 |         53 |        331 |
| pip requirements   |          2 |         58 |          0 |          2 |         60 |
| XML                |          4 |         12 |          0 |          0 |         12 |
| JSON with Comments |          1 |          7 |          4 |          0 |         11 |
| Shell Script       |          1 |          6 |          1 |          0 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        842 |     67,334 |      2,993 |      5,290 |     75,617 |
| server                                                                                                                                                        |        115 |      9,927 |        346 |      1,122 |     11,395 |
| server/app                                                                                                                                                    |         58 |      2,603 |         34 |        607 |      3,244 |
| server/app/config                                                                                                                                             |          5 |         51 |          0 |         23 |         74 |
| server/app/handle                                                                                                                                             |          3 |         41 |          0 |         10 |         51 |
| server/app/helper                                                                                                                                             |          3 |        133 |          2 |         31 |        166 |
| server/app/model                                                                                                                                              |         13 |        275 |         16 |        120 |        411 |
| server/app/repository                                                                                                                                         |         13 |        321 |          1 |         99 |        421 |
| server/app/router                                                                                                                                             |         16 |      1,675 |         15 |        300 |      1,990 |
| server/app/services                                                                                                                                           |          4 |        107 |          0 |         23 |        130 |
| server/core                                                                                                                                                   |         47 |      5,405 |        305 |        484 |      6,194 |
| server/core/attack_graph                                                                                                                                      |         10 |      2,080 |         33 |         65 |      2,178 |
| server/core/attack_graph/model                                                                                                                                |          5 |         54 |          0 |         33 |         87 |
| server/core/attack_graph/utils                                                                                                                                |          2 |          4 |          0 |          6 |         10 |
| server/core/bayes                                                                                                                                             |         13 |      1,156 |        200 |        212 |      1,568 |
| server/core/bayes/helper                                                                                                                                      |          2 |         18 |          1 |          5 |         24 |
| server/core/bayes/model                                                                                                                                       |          4 |        876 |         50 |        126 |      1,052 |
| server/core/crawl                                                                                                                                             |         23 |      2,169 |         72 |        206 |      2,447 |
| server/core/crawl/default                                                                                                                                     |          3 |        777 |          0 |          1 |        778 |
| server/core/crawl/src                                                                                                                                         |         19 |      1,392 |         72 |        204 |      1,668 |
| server/core/crawl/src/hepler                                                                                                                                  |          4 |         48 |          0 |         18 |         66 |
| server/core/crawl/src/model                                                                                                                                   |          4 |        202 |         23 |         51 |        276 |
| server/core/crawl/src/parser                                                                                                                                  |          4 |        609 |         34 |         78 |        721 |
| server/core/crawl/src/pretreatment                                                                                                                            |          3 |         75 |          0 |         22 |         97 |
| server/scenarios                                                                                                                                              |          4 |      1,063 |          0 |          1 |      1,064 |
| web                                                                                                                                                           |        727 |     57,407 |      2,647 |      4,168 |     64,222 |
| web/config                                                                                                                                                    |          6 |        866 |         73 |          8 |        947 |
| web/dist                                                                                                                                                      |        102 |      5,563 |      1,100 |        507 |      7,170 |
| web/dist/admin                                                                                                                                                |          1 |        192 |         36 |         17 |        245 |
| web/dist/admin/users                                                                                                                                          |          1 |        192 |         36 |         17 |        245 |
| web/dist/assets                                                                                                                                               |          1 |        192 |         36 |         17 |        245 |
| web/dist/countermeasures                                                                                                                                      |          1 |        192 |         36 |         17 |        245 |
| web/dist/dashboard                                                                                                                                            |          1 |        192 |         36 |         17 |        245 |
| web/dist/data                                                                                                                                                 |          7 |      1,344 |        252 |        119 |      1,715 |
| web/dist/data/cpe                                                                                                                                             |          1 |        192 |         36 |         17 |        245 |
| web/dist/data/cve                                                                                                                                             |          2 |        384 |         72 |         34 |        490 |
| web/dist/data/cve/:id                                                                                                                                         |          1 |        192 |         36 |         17 |        245 |
| web/dist/data/cwe                                                                                                                                             |          2 |        384 |         72 |         34 |        490 |
| web/dist/data/cwe/:id                                                                                                                                         |          1 |        192 |         36 |         17 |        245 |
| web/dist/data/parameters                                                                                                                                      |          1 |        192 |         36 |         17 |        245 |
| web/dist/deployment-scenarios                                                                                                                                 |          3 |        576 |        108 |         51 |        735 |
| web/dist/deployment-scenarios/:id                                                                                                                             |          1 |        192 |         36 |         17 |        245 |
| web/dist/deployment-scenarios/mapping                                                                                                                         |          1 |        192 |         36 |         17 |        245 |
| web/dist/deployment-scenarios/mapping/:id                                                                                                                     |          1 |        192 |         36 |         17 |        245 |
| web/dist/risk-assessments                                                                                                                                     |          3 |        576 |        108 |         51 |        735 |
| web/dist/risk-assessments/:id                                                                                                                                 |          1 |        192 |         36 |         17 |        245 |
| web/dist/risk-assessments/assessments                                                                                                                         |          1 |        192 |         36 |         17 |        245 |
| web/dist/risk-assessments/assessments/:id                                                                                                                     |          1 |        192 |         36 |         17 |        245 |
| web/dist/risk-monitoring                                                                                                                                      |          2 |        384 |         72 |         34 |        490 |
| web/dist/risk-monitoring/monitoring                                                                                                                           |          1 |        192 |         36 |         17 |        245 |
| web/dist/risk-monitoring/monitoring/:id                                                                                                                       |          1 |        192 |         36 |         17 |        245 |
| web/dist/system-profiles                                                                                                                                      |          2 |        384 |         72 |         34 |        490 |
| web/dist/system-profiles/:id                                                                                                                                  |          1 |        192 |         36 |         17 |        245 |
| web/dist/user                                                                                                                                                 |          4 |        768 |        144 |         68 |        980 |
| web/dist/user/login                                                                                                                                           |          1 |        192 |         36 |         17 |        245 |
| web/dist/user/register                                                                                                                                        |          1 |        192 |         36 |         17 |        245 |
| web/dist/user/register-result                                                                                                                                 |          1 |        192 |         36 |         17 |        245 |
| web/mock                                                                                                                                                      |          4 |        461 |         11 |         42 |        514 |
| web/public                                                                                                                                                    |          2 |          6 |          0 |          0 |          6 |
| web/src                                                                                                                                                       |        601 |     50,262 |      1,346 |      3,557 |     55,165 |
| web/src/components                                                                                                                                            |         42 |      2,887 |         47 |        316 |      3,250 |
| web/src/components/CVSSServerity                                                                                                                              |          1 |         18 |          0 |          3 |         21 |
| web/src/components/CustomField                                                                                                                                |          2 |         83 |          0 |         12 |         95 |
| web/src/components/Dashboard                                                                                                                                  |         23 |      1,730 |         16 |        174 |      1,920 |
| web/src/components/Dashboard/Charts                                                                                                                           |         16 |      1,489 |         15 |        158 |      1,662 |
| web/src/components/Dashboard/Charts/Bar                                                                                                                       |          1 |        114 |          0 |         11 |        125 |
| web/src/components/Dashboard/Charts/ChartCard                                                                                                                 |          2 |        165 |          0 |         14 |        179 |
| web/src/components/Dashboard/Charts/Field                                                                                                                     |          2 |         25 |          0 |          5 |         30 |
| web/src/components/Dashboard/Charts/Gauge                                                                                                                     |          1 |        161 |          0 |         11 |        172 |
| web/src/components/Dashboard/Charts/MiniArea                                                                                                                  |          1 |        110 |          0 |          3 |        113 |
| web/src/components/Dashboard/Charts/MiniBar                                                                                                                   |          1 |         40 |          0 |          4 |         44 |
| web/src/components/Dashboard/Charts/MiniProgress                                                                                                              |          1 |         43 |          0 |          3 |         46 |
| web/src/components/Dashboard/Charts/Pie                                                                                                                       |          1 |        241 |          4 |         26 |        271 |
| web/src/components/Dashboard/Charts/TagCloud                                                                                                                  |          1 |        165 |          5 |         20 |        190 |
| web/src/components/Dashboard/Charts/TimelineChart                                                                                                             |          1 |        127 |          2 |          8 |        137 |
| web/src/components/Dashboard/Charts/WaterWave                                                                                                                 |          1 |        207 |          4 |         35 |        246 |
| web/src/components/Dashboard/Metric                                                                                                                           |          2 |         57 |          0 |          1 |         58 |
| web/src/components/Dashboard/NumberInfo                                                                                                                       |          2 |        115 |          0 |          5 |        120 |
| web/src/components/Dashboard/PageLoading                                                                                                                      |          1 |         11 |          1 |          2 |         14 |
| web/src/components/Dashboard/Trend                                                                                                                            |          2 |         58 |          0 |          8 |         66 |
| web/src/components/Footer                                                                                                                                     |          1 |          7 |          0 |          1 |          8 |
| web/src/components/HeaderDropdown                                                                                                                             |          2 |         22 |          0 |          6 |         28 |
| web/src/components/HeaderSearch                                                                                                                               |          2 |        103 |          0 |          7 |        110 |
| web/src/components/Modal                                                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| web/src/components/NoticeIcon                                                                                                                                 |          5 |        455 |          0 |         47 |        502 |
| web/src/components/RightContent                                                                                                                               |          3 |        169 |         31 |         25 |        225 |
| web/src/components/TableAction                                                                                                                                |          1 |         43 |          0 |          7 |         50 |
| web/src/e2e                                                                                                                                                   |          1 |         54 |          0 |          8 |         62 |
| web/src/locales                                                                                                                                               |          9 |        297 |          0 |         22 |        319 |
| web/src/locales/en-US                                                                                                                                         |          8 |        271 |          0 |         21 |        292 |
| web/src/pages                                                                                                                                                 |        536 |     46,134 |      1,237 |      3,113 |     50,484 |
| web/src/pages/TableList                                                                                                                                       |          2 |        436 |         29 |         23 |        488 |
| web/src/pages/TableList/components                                                                                                                            |          1 |        141 |          0 |          3 |        144 |
| web/src/pages/account                                                                                                                                         |         26 |      3,683 |         10 |        153 |      3,846 |
| web/src/pages/account/center                                                                                                                                  |         14 |      1,040 |          6 |         84 |      1,130 |
| web/src/pages/account/center/components                                                                                                                       |         10 |        489 |          3 |         44 |        536 |
| web/src/pages/account/center/components/Applications                                                                                                          |          2 |        171 |          2 |         10 |        183 |
| web/src/pages/account/center/components/ArticleListContent                                                                                                    |          2 |         51 |          0 |          6 |         57 |
| web/src/pages/account/center/components/Articles                                                                                                              |          2 |         66 |          0 |          6 |         72 |
| web/src/pages/account/center/components/AvatarList                                                                                                            |          2 |         99 |          0 |         14 |        113 |
| web/src/pages/account/center/components/Projects                                                                                                              |          2 |        102 |          1 |          8 |        111 |
| web/src/pages/account/settings                                                                                                                                |         12 |      2,643 |          4 |         69 |      2,716 |
| web/src/pages/account/settings/components                                                                                                                     |          6 |        455 |          0 |         38 |        493 |
| web/src/pages/account/settings/geographic                                                                                                                     |          2 |      1,922 |          0 |          2 |      1,924 |
| web/src/pages/admin                                                                                                                                           |          2 |        152 |          2 |         14 |        168 |
| web/src/pages/admin/users                                                                                                                                     |          2 |        152 |          2 |         14 |        168 |
| web/src/pages/api-docs                                                                                                                                        |          1 |          8 |          0 |          4 |         12 |
| web/src/pages/assets                                                                                                                                          |         24 |      3,687 |         38 |        138 |      3,863 |
| web/src/pages/assets/dashboard                                                                                                                                |         12 |      2,081 |         26 |         88 |      2,195 |
| web/src/pages/assets/dashboard/components                                                                                                                     |          5 |        568 |         22 |         19 |        609 |
| web/src/pages/assets/dashboard/utils                                                                                                                          |          3 |        111 |          3 |         18 |        132 |
| web/src/pages/assets/list                                                                                                                                     |          6 |        368 |          9 |         29 |        406 |
| web/src/pages/assets/list/components                                                                                                                          |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/assets/pre-lits                                                                                                                                 |          6 |      1,238 |          3 |         21 |      1,262 |
| web/src/pages/assets/pre-lits/components                                                                                                                      |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/countermeasures                                                                                                                                 |         18 |      2,451 |         30 |        116 |      2,597 |
| web/src/pages/countermeasures/dashboard                                                                                                                       |         12 |      2,081 |         26 |         88 |      2,195 |
| web/src/pages/countermeasures/dashboard/components                                                                                                            |          5 |        568 |         22 |         19 |        609 |
| web/src/pages/countermeasures/dashboard/utils                                                                                                                 |          3 |        111 |          3 |         18 |        132 |
| web/src/pages/countermeasures/list                                                                                                                            |          6 |        370 |          4 |         28 |        402 |
| web/src/pages/countermeasures/list/components                                                                                                                 |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/dashboard                                                                                                                                       |         34 |      4,599 |        163 |        303 |      5,065 |
| web/src/pages/dashboard/analysis                                                                                                                              |         13 |      1,984 |        136 |         89 |      2,209 |
| web/src/pages/dashboard/analysis/components                                                                                                                   |          5 |        492 |        104 |         21 |        617 |
| web/src/pages/dashboard/analysis/utils                                                                                                                        |          3 |        111 |          3 |         18 |        132 |
| web/src/pages/dashboard/monitor                                                                                                                               |         13 |      1,445 |         22 |        138 |      1,605 |
| web/src/pages/dashboard/monitor/components                                                                                                                    |          9 |      1,220 |         13 |        127 |      1,360 |
| web/src/pages/dashboard/monitor/components/ActiveChart                                                                                                        |          2 |        132 |          0 |         14 |        146 |
| web/src/pages/dashboard/monitor/components/Charts                                                                                                             |          6 |        946 |         13 |        110 |      1,069 |
| web/src/pages/dashboard/monitor/components/Charts/Gauge                                                                                                       |          1 |        161 |          0 |         11 |        172 |
| web/src/pages/dashboard/monitor/components/Charts/MiniArea                                                                                                    |          1 |        110 |          0 |          3 |        113 |
| web/src/pages/dashboard/monitor/components/Charts/Pie                                                                                                         |          1 |        241 |          4 |         27 |        272 |
| web/src/pages/dashboard/monitor/components/Charts/TagCloud                                                                                                    |          1 |        165 |          5 |         20 |        190 |
| web/src/pages/dashboard/monitor/components/Charts/WaterWave                                                                                                   |          1 |        207 |          4 |         35 |        246 |
| web/src/pages/dashboard/monitor/components/Map                                                                                                                |          1 |        142 |          0 |          3 |        145 |
| web/src/pages/dashboard/workplace                                                                                                                             |          8 |      1,170 |          5 |         76 |      1,251 |
| web/src/pages/dashboard/workplace/components                                                                                                                  |          4 |        274 |          2 |         32 |        308 |
| web/src/pages/dashboard/workplace/components/EditableLinkGroup                                                                                                |          2 |         46 |          0 |          5 |         51 |
| web/src/pages/dashboard/workplace/components/Radar                                                                                                            |          2 |        228 |          2 |         27 |        257 |
| web/src/pages/data                                                                                                                                            |         28 |      4,808 |         45 |        111 |      4,964 |
| web/src/pages/data/cpe                                                                                                                                        |          6 |      1,155 |          4 |         21 |      1,180 |
| web/src/pages/data/cpe/components                                                                                                                             |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/data/cve                                                                                                                                        |          8 |      1,276 |          5 |         33 |      1,314 |
| web/src/pages/data/cve/$id                                                                                                                                    |          2 |         81 |          2 |         10 |         93 |
| web/src/pages/data/cve/components                                                                                                                             |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/data/cwe                                                                                                                                        |          8 |      1,223 |         19 |         33 |      1,275 |
| web/src/pages/data/cwe/$id                                                                                                                                    |          2 |         68 |          2 |         10 |         80 |
| web/src/pages/data/cwe/components                                                                                                                             |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/data/parameters                                                                                                                                 |          6 |      1,154 |         17 |         24 |      1,195 |
| web/src/pages/data/parameters/components                                                                                                                      |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/deployment-scenarios                                                                                                                            |         49 |      3,888 |        214 |        367 |      4,469 |
| web/src/pages/deployment-scenarios/$id                                                                                                                        |          9 |        859 |        105 |         76 |      1,040 |
| web/src/pages/deployment-scenarios/$id/components                                                                                                             |          7 |        492 |        102 |         47 |        641 |
| web/src/pages/deployment-scenarios/components                                                                                                                 |         34 |      2,334 |         78 |        213 |      2,625 |
| web/src/pages/deployment-scenarios/components/MappingVul                                                                                                      |          5 |        530 |         18 |         53 |        601 |
| web/src/pages/deployment-scenarios/components/asset-relationship                                                                                              |         20 |        517 |         53 |         77 |        647 |
| web/src/pages/deployment-scenarios/components/asset-relationship/common                                                                                       |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/deployment-scenarios/components/asset-relationship/common/IconFont                                                                              |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components                                                                                   |         16 |        410 |         41 |         62 |        513 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components/EditorContextMenu                                                                 |          4 |         85 |          0 |         15 |        100 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components/EditorDetailPanel                                                                 |          4 |        190 |         25 |         23 |        238 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components/EditorItemPanel                                                                   |          3 |         49 |         10 |          7 |         66 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components/EditorMinimap                                                                     |          1 |          8 |          0 |          3 |         11 |
| web/src/pages/deployment-scenarios/components/asset-relationship/components/EditorToolbar                                                                     |          4 |         78 |          6 |         14 |         98 |
| web/src/pages/deployment-scenarios/components/attacker                                                                                                        |          2 |        335 |          3 |         20 |        358 |
| web/src/pages/deployment-scenarios/components/countermeasures                                                                                                 |          2 |        242 |          3 |         18 |        263 |
| web/src/pages/deployment-scenarios/components/info                                                                                                            |          1 |         23 |          0 |          5 |         28 |
| web/src/pages/deployment-scenarios/mapping                                                                                                                    |          2 |         42 |          0 |         11 |         53 |
| web/src/pages/deployment-scenarios/mapping/$id                                                                                                                |          2 |         42 |          0 |         11 |         53 |
| web/src/pages/editor                                                                                                                                          |         79 |      1,895 |          0 |        246 |      2,141 |
| web/src/pages/editor/flow                                                                                                                                     |         26 |        585 |          0 |         82 |        667 |
| web/src/pages/editor/flow/common                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/editor/flow/common/IconFont                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/editor/flow/components                                                                                                                          |         23 |        505 |          0 |         72 |        577 |
